market_id,census_name,common_name,population,days_on_market_median,price_new_list_median,price_closed_median,listings_on_market_count,listings_price_increase_count,listings_price_decrease_count,listings_closed_count,price_change_rate,price_change_rate_rank,listing_closing_rate,listing_closing_rate_rank,price_change_per_day,price_change_per_day_rank,price_closed_median_rank,population_rank,rate_ranks_combine,total_ranks_combine
san_francisco_ca,"San Francisco-Oakland-Fremont, CA Metro Area","San Francisco, CA",4653593,21,1450000.0,1482500.0,6265,126,1900,3069,0.06631578947368422,12.0,0.48986432561851556,12.0,1547.6190476190477,3.0,2.0,12.0,27.0,41.0
san_jose_ca,"San Jose-Sunnyvale-Santa Clara, CA Metro Area","San Jose, CA",1969353,17,1573032.0,1632174.0,1698,66,562,1082,0.11743772241992882,3.0,0.6372202591283863,4.0,3478.9411764705883,1.0,1.0,36.0,8.0,45.0
san_diego_ca,"San Diego-Chula Vista-Carlsbad, CA Metro Area","San Diego, CA",3282782,38,899999.0,899450.0,5233,126,1898,2154,0.06638566912539515,11.0,0.41161857443149247,22.0,-14.447368421052632,13.0,4.0,17.0,46.0,67.0
washington_dc,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Washington, DC",6263796,45,585749.0,580748.0,14311,266,5198,5869,0.05117352828010773,22.0,0.4101041157151841,23.0,-111.13333333333334,17.0,11.0,6.0,62.0,79.0
minneapolis_mn,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","Minneapolis, MN",3693351,33,396492.0,393674.0,8700,234,3716,4198,0.06297093649085038,14.0,0.4825287356321839,13.0,-85.39393939393939,15.0,26.0,16.0,42.0,84.0
riverside_ca,"Riverside-San Bernardino-Ontario, CA Metro Area","Riverside, CA",4637725,61,596611.0,585960.0,12825,296,3886,3562,0.0761708697889861,6.0,0.27773879142300195,36.0,-174.60655737704917,22.0,9.0,13.0,64.0,86.0
baltimore_md,"Baltimore-Columbia-Towson, MD Metro Area","Baltimore, MD",2839409,37,393830.0,393506.0,6759,174,2784,3050,0.0625,16.0,0.45125018493860036,18.0,-8.756756756756756,12.0,27.0,20.0,46.0,93.0
los_angeles_ca,"Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles, CA",13012469,55,979000.0,915000.0,18409,330,5260,6606,0.06273764258555133,15.0,0.35884621652452603,29.0,-1163.6363636363637,49.0,3.0,2.0,93.0,98.0
new_york_ny,"New York-Newark-Jersey City, NY-NJ Metro Area","New York, NY",19756722,58,849000.0,785000.0,36156,362,7062,13542,0.05126026621353724,21.0,0.3745436442084301,27.0,-1103.448275862069,48.0,6.0,1.0,96.0,103.0
detroit_mi,"Detroit-Warren-Dearborn, MI Metro Area","Detroit, MI",4367620,28,189046.0,205878.0,10811,156,4428,5892,0.03523035230352303,32.0,0.5450004624919064,9.0,601.1428571428571,4.0,47.0,14.0,45.0,106.0
chicago_il,"Chicago-Naperville-Elgin, IL-IN Metro Area","Chicago, IL",9359555,52,369900.0,360000.0,16751,160,6308,8251,0.025364616360177554,38.0,0.4925676079040057,11.0,-190.3846153846154,24.0,31.0,3.0,73.0,107.0
virginia_beach_va,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","Virginia Beach, VA",1782590,36,365000.0,368800.0,4933,84,1682,2312,0.04994054696789536,23.0,0.4686803162375836,14.0,105.55555555555556,11.0,29.0,37.0,48.0,114.0
kansas_city_mo,"Kansas City, MO-KS Metro Area","Kansas City, MO",2202006,27,339000.0,349900.0,6602,150,2896,2542,0.05179558011049724,20.0,0.38503483792790066,25.0,403.7037037037037,6.0,33.0,31.0,51.0,115.0
salt_lake_city_ut,"Salt Lake City-Murray, UT Metro Area","Salt Lake City, UT",1261337,48,559900.0,552000.0,3427,120,1786,1267,0.0671892497200448,9.0,0.36971111759556463,28.0,-164.58333333333334,21.0,13.0,46.0,58.0,117.0
buffalo_ny,"Buffalo-Cheektowaga, NY Metro Area","Buffalo, NY",1161385,12,249900.0,290000.0,1475,24,490,1026,0.04897959183673469,24.0,0.6955932203389831,2.0,3341.6666666666665,2.0,41.0,49.0,28.0,118.0
phoenix_az,"Phoenix-Mesa-Chandler, AZ Metro Area","Phoenix, AZ",4941206,71,490000.0,465000.0,18828,492,9428,5217,0.05218498090793382,19.0,0.27708731676226894,37.0,-352.11267605633805,37.0,16.0,10.0,93.0,119.0
denver_co,"Denver-Aurora-Centennial, CO Metro Area","Denver, CO",2977085,44,596293.0,591083.0,12052,144,6062,3361,0.023754536456614978,39.0,0.27887487553932955,35.0,-118.4090909090909,19.0,8.0,19.0,93.0,120.0
boston_ma,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4917661,24,776040.0,733673.0,7941,52,3156,4387,0.016476552598225603,45.0,0.5524493136884523,7.0,-1765.2916666666667,50.0,7.0,11.0,102.0,120.0
st_louis_mo,"St. Louis, MO-IL Metro Area","St. Louis, MO",2809414,29,274900.0,285000.0,6344,54,2734,3483,0.019751280175566936,41.0,0.5490226986128626,8.0,348.2758620689655,8.0,42.0,21.0,57.0,120.0
fresno_ca,"Fresno, CA Metro Area","Fresno, CA",1170942,45,440850.0,437000.0,2077,56,670,669,0.08358208955223881,5.0,0.32209918151179584,31.0,-85.55555555555556,16.0,20.0,48.0,52.0,120.0
portland_or,"Portland-Vancouver-Hillsboro, OR-WA Metro Area","Portland, OR",2510529,37,579816.0,550874.0,8059,750,4278,2370,0.1753155680224404,1.0,0.2940811515076312,34.0,-782.2162162162163,47.0,14.0,25.0,82.0,121.0
houston_tx,"Houston-Pasadena-The Woodlands, TX Metro Area","Houston, TX",7274714,60,349000.0,329900.0,33947,1304,10622,5334,0.12276407456222933,2.0,0.15712728665272335,47.0,-318.3333333333333,33.0,35.0,5.0,82.0,122.0
philadelphia_pa,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Philadelphia, PA",6241882,44,309900.0,280000.0,12052,266,4800,6519,0.05541666666666667,17.0,0.5409060736807169,10.0,-679.5454545454545,46.0,43.0,7.0,73.0,123.0
seattle_wa,"Seattle-Tacoma-Bellevue, WA Metro Area","Seattle, WA",4021467,21,843328.0,832871.0,9813,108,3986,3716,0.027094831911690917,37.0,0.37868134107816165,26.0,-497.95238095238096,42.0,5.0,15.0,105.0,125.0
charlotte_nc,"Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte, NC",2712818,66,425302.0,412466.0,10190,226,5060,3050,0.04466403162055336,26.0,0.29931305201177627,33.0,-194.4848484848485,25.0,22.0,23.0,84.0,129.0
